date,status,temperature,wind,status_day,status_night,temp_day,temp_night,wind_day,wind_night,wind_dir_day,wind_force_day,wind_dir_night,wind_force_night
2013年01月01日,晴 /多云,5℃ / -3℃,东风 3-4级 /东北风 4-5级,晴,多云,5,-3,东风 3-4级,东北风 4-5级,东风,3-4级,东北风,4-5级
2013年01月02日,多云 /阴,1℃ / -6℃,北风 4-5级 /北风 4-5级,多云,阴,1,-6,北风 4-5级,北风 4-5级,北风,4-5级,北风,4-5级
2013年01月03日,多云 /阴,1℃ / -6℃,北风 3-4级 /北风 4-5级,多云,阴,1,-6,北风 3-4级,北风 4-5级,北风,3-4级,北风,4-5级
2013年01月04日,阴 /多云,0℃ / -4℃,北风 3-4级 /北风 3-4级,阴,多云,0,-4,北风 3-4级,北风 3-4级,北风,3-4级,北风,3-4级
2013年01月05日,多云 /多云,3℃ / -4℃,北风 3-4级 /北风 3-4级,多云,多云,3,-4,北风 3-4级,北风 3-4级,北风,3-4级,北风,3-4级
2013年01月06日,多云 /多云,2℃ / -2℃,北风 3-4级 /北风 3-4级,多云,多云,2,-2,北风 3-4级,北风 3-4级,北风,3-4级,北风,3-4级
2013年01月07日,多云 /多云,4℃ / -3℃,北风 3-4级 /北风 3-4级,多云,多云,4,-3,北风 3-4级,北风 3-4级,北风,3-4级,北风,3-4级
2013年01月08日,多云 /多云,4℃ / -3℃,北风 3-4级 /北风 4-5级,多云,多云,4,-3,北风 3-4级,北风 4-5级,北风,3-4级,北风,4-5级
2013年01月09日,多云 /晴,3℃ / -5℃,北风 4-5级 /北风 3-4级,多云,晴,3,-5,北风 4-5级,北风 3-4级,北风,4-5级,北风,3-4级
2013年01月10日,晴 /晴,5℃ / -2℃,北风 3-4级 /东南风 3-4级,晴,晴,5,-2,北风 3-4级,东南风 3-4级,北风,3-4级,东南风,3-4级
2013年01月11日,阴 /多云,6℃ / 0℃,南风 3-4级 /南风 3-4级,阴,多云,6,0,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年01月12日,多云 /阴,7℃ / 1℃,西南风 3-4级 /东南风 3-4级,多云,阴,7,1,西南风 3-4级,东南风 3-4级,西南风,3-4级,东南风,3-4级
2013年01月13日,多云 /多云,7℃ / -2℃,东北风 3-4级 /东风 3-4级,多云,多云,7,-2,东北风 3-4级,东风 3-4级,东北风,3-4级,东风,3-4级
2013年01月14日,晴 /多云,8℃ / -1℃,东风 3-4级 /东风 3-4级,晴,多云,8,-1,东风 3-4级,东风 3-4级,东风,3-4级,东风,3-4级
2013年01月15日,多云 /阴,8℃ / -1℃,东风 3-4级 /东风 3-4级,多云,阴,8,-1,东风 3-4级,东风 3-4级,东风,3-4级,东风,3-4级
2013年01月16日,多云 /多云,6℃ / -3℃,北风 4-5级 /北风 4-5级,多云,多云,6,-3,北风 4-5级,北风 4-5级,北风,4-5级,北风,4-5级
2013年01月17日,晴 /晴,5℃ / -5℃,北风 4-5级 /北风 4-5级,晴,晴,5,-5,北风 4-5级,北风 4-5级,北风,4-5级,北风,4-5级
2013年01月18日,晴 /晴,5℃ / -4℃,西南风 3-4级 /西南风 3-4级,晴,晴,5,-4,西南风 3-4级,西南风 3-4级,西南风,3-4级,西南风,3-4级
2013年01月19日,晴 /多云,7℃ / 1℃,南风 3-4级 /南风 3-4级,晴,多云,7,1,南风 3-4级,南风 3-4级,南风,3-4级,南风,3-4级
2013年01月20日,小雨 /阴,7℃ / 3℃,东南风 3-4级 /东南风 4-5级,小雨,阴,7,3,东南风 3-4级,东南风 4-5级,东南风,3-4级,东南风,4-5级
2013年01月21日,小雨 /阴,6℃ / 0℃,北风 4-5级 /北风 3-4级,小雨,阴,6,0,北风 4-5级,北风 3-4级,北风,4-5级,北风,3-4级
